Invoice_id,Branch,City,Customer_type,Gender,Product_line, Unitprice ,Quantity,Tax _5, Total ,Date,Time,Payment,cogs,gross_margin_percentage, gross_income ,Rating
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.1,6,20.74,435,2/8/2019,1:03:00 PM,Cash,414.72,4.76,21,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829,3/4/2019,8:39:00 PM,Cash,789.6,4.76,39,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.4,2,1.54,32,3/16/2019,7:47:00 PM,Cash,30.74,4.76,2,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,94,4,18.79,395,3/9/2019,6:00:00 PM,Cash,375.84,4.76,19,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.7,9,25.51,536,2/27/2019,5:24:00 PM,Credit card,510.21,4.76,26,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20,9,9,189,2/6/2019,3:47:00 PM,Ewallet,180.09,4.76,9,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.9,6,5.68,119,2/10/2019,12:45:00 PM,Credit card,113.58,4.76,6,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.6,10,41.32,868,3/19/2019,5:08:00 PM,Ewallet,826.3,4.76,41,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,672,2/3/2019,10:19:00 AM,Cash,639.8,4.76,32,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.6,5,11.15,234,2/10/2019,3:10:00 PM,Cash,222.95,4.76,11,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.9,4,3.57,75,3/22/2019,2:42:00 PM,Ewallet,71.48,4.76,4,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.4,1,0.77,16,1/25/2019,3:46:00 PM,Credit card,15.43,4.76,1,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.2,2,1.62,34,3/7/2019,11:49:00 AM,Ewallet,32.32,4.76,2,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,86,8,34.39,722,2/28/2019,7:01:00 PM,Cash,687.84,4.76,34,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.3,2,4.43,93,3/27/2019,11:26:00 AM,Cash,88.68,4.76,4,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,753,2/7/2019,11:28:00 AM,Ewallet,716.8,4.76,36,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.4,10,36.18,760,1/20/2019,3:55:00 PM,Cash,723.5,4.76,36,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.6,6,9.18,193,3/12/2019,8:36:00 PM,Cash,183.66,4.76,9,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.7,3,3.71,78,2/15/2019,5:47:00 PM,Credit card,74.22,4.76,4,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.7,6,16.72,351,2/24/2019,10:55:00 AM,Ewallet,334.38,4.76,17,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.1,9,24.78,520,2/3/2019,1:40:00 PM,Ewallet,495.63,4.76,25,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.8,10,7.91,166,3/6/2019,12:27:00 PM,Credit card,158.1,4.76,8,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.7,4,15.15,318,2/14/2019,2:35:00 PM,Cash,302.96,4.76,15,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.9,10,7.94,167,3/13/2019,4:40:00 PM,Cash,158.7,4.76,8,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.5,2,3.35,70,2/10/2019,3:43:00 PM,Ewallet,66.94,4.76,3,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.6,6,29.28,615,1/7/2019,3:01:00 PM,Ewallet,585.66,4.76,29,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.8,10,39.39,827,1/24/2019,10:04:00 AM,Cash,787.7,4.76,39,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.3,1,0.92,19,2/2/2019,6:50:00 PM,Cash,18.33,4.76,1,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.5,10,44.74,940,1/6/2019,12:46:00 PM,Credit card,894.8,4.76,45,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.1,10,31.06,652,2/11/2019,4:19:00 PM,Cash,621.2,4.76,31,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.5,3,7.28,153,3/5/2019,6:17:00 PM,Ewallet,145.56,4.76,7,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.9,6,22.77,478,3/9/2019,6:21:00 PM,Cash,455.46,4.76,23,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.7,9,33.6,706,1/22/2019,10:55:00 AM,Ewallet,672.03,4.76,34,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.7,10,20.83,437,1/13/2019,5:04:00 PM,Credit card,416.5,4.76,21,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49,9,22.07,463,1/9/2019,2:20:00 PM,Credit card,441.36,4.76,22,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20,9,9,189,1/12/2019,3:48:00 PM,Credit card,180.09,4.76,9,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.3,10,39.16,822,3/5/2019,4:24:00 PM,Ewallet,783.1,4.76,39,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.4,5,5.1,107,1/22/2019,6:56:00 PM,Cash,101.9,4.76,5,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.2,6,29.76,625,1/21/2019,2:42:00 PM,Credit card,595.14,4.76,30,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.7,3,14.5,305,1/26/2019,7:56:00 PM,Ewallet,290.04,4.76,14,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.3,8,7.7,162,1/23/2019,6:37:00 PM,Ewallet,154,4.76,8,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.4,4,16.07,338,2/23/2019,6:45:00 PM,Credit card,321.44,4.76,16,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.9,5,12.23,257,3/9/2019,10:17:00 AM,Cash,244.55,4.76,12,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.1,7,29.07,610,3/5/2019,2:31:00 PM,Ewallet,581.42,4.76,29,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.5,5,19.13,402,3/25/2019,10:23:00 AM,Cash,382.6,4.76,19,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.4,7,17.28,363,3/27/2019,8:35:00 PM,Credit card,345.66,4.76,17,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.5,1,2.12,45,1/2/2019,4:57:00 PM,Cash,42.47,4.76,2,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,77,6,23.1,485,2/27/2019,5:55:00 PM,Cash,461.94,4.76,23,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.4,4,9.48,199,1/23/2019,10:25:00 AM,Cash,189.52,4.76,9,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.9,10,22.43,471,1/26/2019,7:54:00 PM,Ewallet,448.6,4.76,22,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,22,7,7.69,162,1/10/2019,4:42:00 PM,Ewallet,153.86,4.76,8,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.4,9,28.96,608,3/12/2019,12:09:00 PM,Credit card,579.24,4.76,29,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.8,1,4.49,94,2/6/2019,8:05:00 PM,Credit card,89.75,4.76,4,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.2,1,4.86,102,3/8/2019,8:38:00 PM,Ewallet,97.16,4.76,5,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.9,10,43.94,923,3/29/2019,10:25:00 AM,Ewallet,878.7,4.76,44,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.5,6,3.74,78,2/9/2019,1:11:00 PM,Cash,74.7,4.76,4,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.8,3,7.91,166,3/23/2019,10:16:00 AM,Ewallet,158.25,4.76,8,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521,3/5/2019,6:14:00 PM,Cash,496.2,4.76,25,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.7,1,2.44,51,3/26/2019,7:20:00 PM,Cash,48.71,4.76,2,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.6,9,35.35,742,3/1/2019,1:22:00 PM,Cash,706.95,4.76,35,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.1,9,10.38,218,2/1/2019,11:27:00 AM,Cash,207.63,4.76,10,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.3,6,17.48,367,3/28/2019,4:44:00 PM,Cash,349.56,4.76,17,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.4,7,10.62,223,3/19/2019,6:19:00 PM,Cash,212.45,4.76,11,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.7,10,44.34,931,1/12/2019,2:50:00 PM,Ewallet,886.7,4.76,44,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.4,6,8.21,172,1/5/2019,8:54:00 PM,Credit card,164.28,4.76,8,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.1,6,18.64,391,3/22/2019,8:19:00 PM,Cash,372.78,4.76,19,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,34,9,15.29,321,3/24/2019,10:43:00 AM,Cash,305.82,4.76,15,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,82,10,40.99,861,3/3/2019,2:30:00 PM,Cash,819.7,4.76,41,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.5,2,1.65,35,2/5/2019,11:32:00 AM,Ewallet,32.98,4.76,2,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.2,3,14.73,309,2/5/2019,10:41:00 AM,Credit card,294.63,4.76,15,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.8,7,25.49,535,2/15/2019,12:44:00 PM,Cash,509.88,4.76,25,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.1,9,26.13,549,1/19/2019,8:07:00 PM,Ewallet,522.63,4.76,26,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.8,9,36.36,763,2/1/2019,8:31:00 PM,Credit card,727.11,4.76,36,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27,3,4.05,85,3/2/2019,1:01:00 PM,Credit card,81.06,4.76,4,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.9,5,5.49,115,3/5/2019,12:29:00 PM,Ewallet,109.7,4.76,5,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.4,1,2.57,54,1/16/2019,3:26:00 PM,Ewallet,51.36,4.76,3,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,11,10,5.48,115,2/2/2019,8:48:00 PM,Ewallet,109.6,4.76,5,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.4,2,5.34,112,1/20/2019,8:38:00 PM,Ewallet,106.88,4.76,5,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.6,8,39.82,836,2/14/2019,5:03:00 PM,Credit card,796.48,4.76,40,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.1,7,19.99,420,1/12/2019,12:02:00 PM,Credit card,399.84,4.76,20,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,100,9,44.98,945,3/9/2019,5:26:00 PM,Credit card,899.64,4.76,45,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.9,8,25.56,537,3/13/2019,7:52:00 PM,Credit card,511.28,4.76,26,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.5,8,22.59,474,3/9/2019,2:57:00 PM,Ewallet,451.76,4.76,23,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.7,7,32.79,689,3/10/2019,6:44:00 PM,Credit card,655.83,4.76,33,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.3,5,8.06,169,1/27/2019,1:26:00 PM,Cash,161.25,4.76,8,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.7,9,14.28,300,1/8/2019,4:17:00 PM,Credit card,285.57,4.76,14,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.5,8,27.42,576,1/8/2019,3:57:00 PM,Ewallet,548.32,4.76,27,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.3,9,40.63,853,2/8/2019,11:15:00 AM,Ewallet,812.52,4.76,41,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.6,7,13.87,291,1/25/2019,1:18:00 PM,Cash,277.34,4.76,14,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.1,6,27.64,580,3/6/2019,8:34:00 PM,Cash,552.78,4.76,28,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.8,4,6.97,146,2/10/2019,6:36:00 PM,Cash,139.36,4.76,7,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.5,6,26.24,551,2/17/2019,2:40:00 PM,Credit card,524.7,4.76,26,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512,3/8/2019,4:43:00 PM,Ewallet,487.8,4.76,24,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.2,3,13.53,284,2/18/2019,7:39:00 PM,Cash,270.66,4.76,14,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.3,5,6.58,138,1/18/2019,8:59:00 PM,Credit card,131.55,4.76,7,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.4,6,10.33,217,2/18/2019,3:39:00 PM,Cash,206.52,4.76,10,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.9,10,25.96,545,2/16/2019,12:21:00 PM,Cash,519.1,4.76,26,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,7:25:00 PM,Ewallet,580,4.76,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,943,1/23/2019,1:00:00 PM,Credit card,898,4.76,45,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950,1/25/2019,1:48:00 PM,Cash,905,4.76,45,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720,2/5/2019,7:57:00 PM,Cash,686,4.76,34,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.4,1,1.52,32,2/22/2019,10:36:00 AM,Credit card,30.41,4.76,2,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,78,6,23.39,491,1/21/2019,4:37:00 PM,Ewallet,467.7,4.76,23,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.3,6,13.88,291,3/8/2019,5:11:00 PM,Credit card,277.56,4.76,14,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.1,10,15.07,316,2/10/2019,12:28:00 PM,Ewallet,301.4,4.76,15,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.1,4,13.23,278,3/19/2019,12:46:00 PM,Credit card,264.56,4.76,13,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.9,8,28.74,604,3/6/2019,3:07:00 PM,Credit card,574.88,4.76,29,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.5,8,12.98,273,3/27/2019,1:48:00 PM,Credit card,259.68,4.76,13,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.5,4,18.31,384,3/23/2019,7:20:00 PM,Credit card,366.16,4.76,18,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.6,7,12.1,254,3/11/2019,4:07:00 PM,Credit card,241.92,4.76,12,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.2,9,37.46,787,1/29/2019,11:56:00 AM,Credit card,749.16,4.76,37,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.5,6,4.94,104,2/7/2019,6:23:00 PM,Ewallet,98.88,4.76,5,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,81,8,32.39,680,1/28/2019,1:05:00 PM,Cash,647.76,4.76,32,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.3,5,23.07,485,2/20/2019,3:55:00 PM,Credit card,461.45,4.76,23,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.2,1,3.61,76,1/4/2019,7:40:00 PM,Cash,72.17,4.76,4,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.3,5,12.57,264,3/7/2019,1:58:00 PM,Ewallet,251.4,4.76,13,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.2,9,43.75,919,3/30/2019,2:43:00 PM,Ewallet,874.98,4.76,44,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.4,6,28.02,588,3/27/2019,7:18:00 PM,Ewallet,560.34,4.76,28,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.2,8,17.27,363,1/19/2019,7:39:00 PM,Credit card,345.44,4.76,17,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.7,1,3.18,67,2/25/2019,4:21:00 PM,Cash,63.69,4.76,3,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.8,7,16.03,337,3/13/2019,7:44:00 PM,Credit card,320.53,4.76,16,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160,1/30/2019,7:42:00 PM,Ewallet,152.8,4.76,8,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,419,2/20/2019,3:24:00 PM,Credit card,399,4.76,20,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.6,8,17.03,358,2/25/2019,2:12:00 PM,Ewallet,340.56,4.76,17,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.6,10,47.79,1004,1/16/2019,1:32:00 PM,Cash,955.8,4.76,48,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,99,10,49.49,1039,2/8/2019,4:20:00 PM,Credit card,989.8,4.76,49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.3,6,15.38,323,1/19/2019,4:31:00 PM,Cash,307.68,4.76,15,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.5,7,24.33,511,2/1/2019,3:10:00 PM,Credit card,486.64,4.76,24,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70,5,17.5,368,1/3/2019,11:36:00 AM,Ewallet,350.05,4.76,18,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.1,5,20.01,420,1/26/2019,12:45:00 PM,Credit card,400.25,4.76,20,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.9,8,8.34,175,3/3/2019,7:17:00 PM,Cash,166.8,4.76,8,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.9,6,15.87,333,1/19/2019,5:34:00 PM,Credit card,317.34,4.76,16,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.8,8,7.92,166,1/18/2019,12:04:00 PM,Ewallet,158.32,4.76,8,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.8,9,15.23,320,3/21/2019,4:21:00 PM,Ewallet,304.56,4.76,15,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.2,8,8.87,186,3/3/2019,5:01:00 PM,Credit card,177.36,4.76,9,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.5,7,7.88,165,2/13/2019,10:50:00 AM,Credit card,157.57,4.76,8,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.9,6,22.16,465,3/23/2019,7:16:00 PM,Ewallet,443.28,4.76,22,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273,1/28/2019,4:47:00 PM,Ewallet,260.4,4.76,13,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.3,7,22.49,472,2/9/2019,10:00:00 AM,Cash,449.82,4.76,22,5.7
